,last_updated,id_code,name,country,actor_type,isin_id,race_to_zero_member,website,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,end_target_year,end_target_status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,ghg,inventory_year,higher_net_zero
2594,2022-12-06 15:00:13,COM-0507,Bank of Nova Scotia,CAN,Company,,Yes,http://www.scotiabank.com,Net zero,,,,,,,,2050.0,In corporate strategy,2022.0,Other,,,,,,,"""achieve net-zero operations by 2030"" and specific targets for oil/gas/power/utilities portfolios",2030.0,"""As a member of the Net-Zero Banking Alliance, Scotiabank is committed to being a net-zero bank by 2050. This includes achieving net-zero emissions from our operations and net-zero financed emissions by 2050.""","""achieve net-zero operations by 2030, including securing 100% non-emitting electricity in Canada by 2025, and globally by 2030. ""

""we have set ambitious, achievable targets to reduce the emissions intensity of our Oil and Gas portfolio by 30%, and our Power and Utilities portfolio by 55-60% by 2030""

""Reduce Scope 1 and 2 emissions intensity of our Oil and Gas portfolio by 30% and reduce Scope 3 emissions intensity by approximately 15–25% by 2030. Reduce Scope 1 and 2 emissions intensity of our Power and Utilities portfolio by 55–60%, by 2030"" - all on 2019 baseline

Targets cover lending only
Oil and gas intensity targets use units tCO2e/TJ
Power and utilities target uses unit tCO2e/MWh

https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_Net_Zero_Report_2022-EN.pdf","https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_Net_Zero_Report_2022-EN.pdf
https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_2021_ESG_Report_Final.pdf

Climate scenarios:
IEA Net Zero Roadmap, IEA Beyond 2ºC Scenario (B2DS), IEA Sustainable Development Scenario (SDS) ",https://www.scotiabank.com/ca/en/about/responsibility-impact/climate-commitments.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"Gases: CO2, CH4, N2O (p70) https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_2021_ESG_Report_Final.pdf
See more on scope in 2030 targets and 2022 report",Yes,Schedule for regular review of measures|Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period,Annual reporting,No,Yes,"""Going forward, we will publish an annual Net-Zero Progress Update. As a NZBA signatory, we are also committed to: • Setting targets for all, or a substantial majority, of our carbon-intensive, high-exposure sectors (where data allows) within 36 months of signing the NZBA Commitment • Publicly reporting our progress against disclosed targets on an annual basis • Reviewing interim targets at a minimum every five years • Setting the next interim five-year target, as we approach each previous interim target year (e.g. 2035 targets set prior to 2030)""

""Scotiabank has instituted various management and governance processes to ensure effective climate risk management, oversight, and reporting. Climate-related risks are identified using the Bank’s environmental risk management process, guided by Scotiabank’s Environmental Risk Management Framework."" - 2022 report


Reports: https://www.scotiabank.com/ca/en/about/responsibility-impact/esg-publications-policies.html",Yes,Other conditions,,"2022 report describes them as ""quality"" - see notes (p29 of https://www.scotiabank.com/content/dam/scotiabank/corporate/Documents/Scotiabank_Net_Zero_Report_2022-EN.pdf)",No,Yes (nature-based and CCS-based removals),"Nature-based: 'Scotiabank and the Costa Rican Sports and Recreation Institute (Icoder) received the Bóscares Costa Rica 2021 award recognition for the best Reforestation and Forest Recovery project' (p65 2021)
CCS-based: 'Scotiabank is well-positioned to mobilize finance to facilitate the development of solutions that support climate transition and adaptation, including cleantech, electric vehicles and charging infrastructure, carbon capture, utilization and storage and low carbon buildings' (p37)

Carbon removal (CCS is mentioned as an option, but is not a developed part of the 2022 plan)

""Scotiabank has signed a contract to purchase solar power to offset all of our Canadian electricity carbon footprint""

""In markets where non-emitting sources are unavailable, we will consider the use of quality offsets to meet our operational emissions targets.""

""Scotiabank is considering different renewable energy and emission offset opportunities that address local needs, and the Bank’s overarching climate targets. More information will be included in forthcoming annual updates.""",,,30350000000.0,,Services,,101813.0,,,,
2599,2022-12-08 19:45:42,COM-0512,Brookfield Asset Management,CAN,Company,CA1125851040,Yes,http://www.brookfield.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Other,,,,,,,"'as a key step, we have set an interim target of reducing scope 1 and 2 emissions across $147 billion of our aum by approximately two-thirds by 2030' (p7",2030.0,"'To ensure that our portfolio aligns with climate action best practices, we made a commitment to support the goal of reaching net-zero emissions by 2050 or sooner across all assets under management; created the Brookfield Global Transition Fund to source opportunities underpinned by a decarbonization objective and deliver solutions that facilitate the transition to net-zero; and continue to align our practices with the TCFD.' (p26)",see above,2021 report,https://www.brookfield.com/sites/default/files/2022-07/bam_esg_report_2021_final_2.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Not Specified,No,"Scope: 1-2 (p7,)",Yes,,Annual reporting,No,Not Specified,"Plan: investment strategy on p27, e.g. 'Business Transformation: Transition utility, energy and industrial businesses driving carbon dioxide equivalent reduction and decreased energy consumption through investment in greener production processes and energy efficiency. This will include investments in non-pure-play renewable opportunities, utility companies, industrial and energy-efficiency technologies such as smart meters and electric vehicle charging stations. '
",No,,,,No,No,,,,63400000000.0,,Services,,151900.0,,,,
2647,2022-12-08 21:47:31,COM-0560,Canadian Imperial Bank,CAN,Company,CA1360691010,Yes,http://www.cibc.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,32.0,2020.0,,,,,,2030.0,"Recognizing the work ahead, in 2021, CIBC announced a Climate Transition Plan that included a net-zero ambition for our operational and financing activities by 2050.","CIBC has established interim targets to reduce the financed emissions associated with our oil and gas portfolio:
• We are targeting a 35% reduction in the operational emissions intensity of our oil and gas portfolio compared to a 2020 base
year, including Scope 1 and 2 emissions from upstream production and downstream refining of oil and gas products.
• We are targeting a 27% reduction in the end use emissions intensity of our oil and gas portfolio compared to a 2020 base year,
including Scope 3 emissions from the combustion of hydrocarbon-derived fuels sold into the market.

CIBC has established an interim target to reduce the financed emissions associated with our power generation portfolio. We are
targeting an emissions intensity of 156 kgCO2 /MWh associated with direct Scope 1 emissions from power generation activities
by 2030, which represents a 32% reduction in emissions intensity compared to our 2020 base year. Our target includes portfolio
companies with owned power generation, such as independent power producers and the power generation share of combination
(power and gas) utilities and integrated (generation, transmission and distribution) utilities.","New commitment in 2021 to net zero by 2050 (in some reports this is limited to only scope 1 & 2)
Announced $100 million in limited partnership investments in climate technology and energy transition funds.
",https://www.cibc.com/content/dam/about_cibc/corporate_responsibility/pdfs/cibc-net-zero-approach-en.pdf,Carbon dioxide and other GHGs,,,,,Yes,No,Partial,No,"Our power generation target includes direct Scope 1 emissions from power generation activities, which represent the majority
of emissions from the sector. Scope 3 emissions associated with purchased power for resale by integrated utilities are currently
excluded from our target-setting methodology and baseline. However, CIBC has many integrated utility clients that both generate
and deliver electricity and may purchase electricity – via wholesale power purchases and power purchase agreements, or PPAs –
to meet customer demand. As clients are increasingly incorporating purchased electricity into their climate targets and transition
planning, CIBC believes including Scope 3 emissions from purchased power more comprehensively captures the role utilities
can play in decarbonizing the power market. As data quality and reporting improves, CIBC intends to include the option of
incorporating Scope 3 emissions from purchased power into the power sector portfolio calculations. Scope 2 emissions resulting
from electricity used to operate power generation facilities are excluded from our target, as these emissions are not material.

Our oil and gas interim targets include emissions from pure-play upstream producers, pure-play downstream refiners and integrated
companies with both upstream and downstream operations.10 These components of the oil and gas sector are responsible for most
emissions across the value chain. For each company, we included Scope 1, 2 and 311 emissions.",No,,Annual reporting,No,Not Specified,"In 2021, CIBC joined the Partnership for Carbon Accounting Financials (PCAF), an initiative led by the financial industry to develop a global standard to measure and disclose the greenhouse gas emissions (GHG) of loans and investments.

Task Force on Climate-related Financial Disclosures (TCFD) Report. We are committed to implementing the recommended framework published by the TCFD. We published our first TCFD Report in 2019, and we expect to publish our next report in 2022

Joined Net-Zero Banking Alliance (NZBA) in 2021, committing to net zero by 2050",Yes,Must be high environmental integrity,,,No,Not Specified,"Our net-zero approach prioritizes emissions reductions and incorporates accounting for verified carbon dioxide removals in our
sector target calculation methodologies. CIBC supports the development of carbon dioxide removals as a tool to balance residual
emissions, especially where there are limited technological options or financially viable alternatives to eliminate emissions.
Our approach is focused on permanent removals, such as through CCUS, and certain high-quality nature-based solutions like
regenerative agriculture and reforestation. Based on guidance and precedents set by internationally recognized organizations,
such as the Science Based Targets initiative (SBTi), and in alignment with the NZBA and PCAF, CIBC will only accept portfolio
companies’ use of carbon dioxide removal credits from projects that have been verified in accordance with standard GHG
accounting protocols and registered on a recognized platform.
The inclusion of carbon dioxide removals creates opportunities for our clients to complement their reduction efforts and reduce
their overall emissions intensities. Currently, third-party carbon reduction offsets unrelated to removals projects are not recognized
under our methodology. As guidance and industry standards for the use of carbon dioxide removals and carbon offsets in net-zero
transition strategies evolves, we will adapt our overall approach and revise our methodology, as appropriate.",,,18660000000.0,,Services,,45157.0,,,,
2691,2022-12-02 18:10:52,COM-0604,Sun Life Financial,CAN,Company,CA8667961053,No,http://www.sunlife.com,Emissions reduction target,30.0,2014.0,,,,,,2030.0,In corporate strategy,2021.0,Emissions reduction target,20.0,2014.0,,,,,,,"We have a goal of reducing our greenhouse
gas (GHG) emissions by 30% by 2030 (based
on tonnes of carbon dioxide equivalent per
square foot, relative to a 2014 baseline).",,"2020-21 report contains the same target
20 https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/TSX_SLF_2020.pdf
https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/sustainability-report-2020-e.pdf
21 https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/TSX_SLF_2021.pdf",https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/TSX_SLF_2021.pdf,Carbon dioxide and other GHGs,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Annual reporting,Yes,Yes,"• Advance diversity, equity and inclusion
",Yes,No conditions specified,,,No,Not Specified,,,,24600000000.0,,Services,,22719.0,,,,
2696,2022-09-18 16:32:17,COM-0609,Suncor Energy,CAN,Company,CA8672241079,No,http://www.suncor.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Other,,,,,,,"'as an interim measure, we have set a target to achieve 10 megatonnes (mt) of annual emission reductions by 2030 across our value chain' (p14)",,"'To become a net-zero GHG emissions company by 2050, we are focused on operational efficiency improvements and accelerating the adoption of new technology.' (p14)",see above,2021 ESG Report,https://sustainability-prd-cdn.suncor.com/-/media/project/ros/shared/documents/reports-on-sustainability/2021-report-on-sustainability-en.pdf?modified=20211126194217,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,Scope: only mentions 1&2 but unclear what the target covers (p14),No,,Annual reporting,No,Yes,"Accountable: 'ESG is embedded in director recruitment, board evaluation and committee representation.' (p48)",No,,,,No,"Yes (CCS-based removals e.g. BECCS, DACCS)","Offsets: '. No credit is taken for GHG reductions due to internally generated performance credits, purchased offsets, ethanol lifecycle GHG reductions, or wind-generated offset' (p67) CCS-based: 'This focus area also means accelerating new technology development and working and investing with new partners such as Svante to accelerate the commercial scale deployment of carbon capture technology' (p5)",,,18400000000.0,,Fossil Fuels,,12889.0,,,,
2725,2022-11-18 14:08:44,COM-0638,BCE,CAN,Company,CA05534B7604,Yes,http://www.bce.ca,Emissions reduction target,57.0,2020.0,,,,,,2030.0,In corporate strategy,2021.0,No target,,,,,,,,,"'Reach 64% of our suppliers by spend covering purchased goods and services with science-based targets by 2026' 
'Reduce our absolute scope 3 GHG emissions from categories other than purchased goods and services 42% by 2030, from a 2020 base year' 
(p10)",,2021 report,https://bce.ca/responsibility/overview/2021-cr-report.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,Scope: 1-3 covered (p10),Yes,,Annual reporting,No,Yes,"Plan: vague, e.g. 'Our action plan includes flagship initiatives such as fleet electrification, procurement of renewable energy, improvement to energy-efficient equipment, and reduction of our real estate footprint' (p80)
Accountable: 'In order to support the evolution of our corporate responsibility strategy, in 2021 we created an internal Corporate Responsibility (CR) Board composed of 50 Bell leaders (directors, vice-presidents and senior vice-presidents). The CR Board meets quarterly...' (p14) ",Yes,Other conditions,,"'. For the remaining GHG emissions that we cannot reduce, we expect to partner with a well-recognized organization to purchase credible carbon credits to offset emissions.' (p80)",No,Not Specified,,,,17100000000.0,,Services,,52100.0,,,,
2730,2022-10-04 17:02:15,COM-0643,Canadian Natural Resources,CAN,Company,CA1363851017,No,http://www.cnrl.com,Net zero,,,,,,,,2050.0,In corporate strategy,,No target,,,,,,,,,"'In 2021, teams from Canadian Natural along with Canada’s oil sands producers in the Oil Sands Pathways to Net Zero Initiative (now called Pathways Alliance) continued to advance our plan, working together with governments, to achieve net zero in the oil sands by 2050 and help Canada meet its climate and economic goals. ' (2021, p8)",,"2018-21 reports contain the same targets
18 https://www.cnrl.com/upload/report/122/02/2018-stewardship-report-to-stakeholders_small.pdf
19 https://www.cnrl.com/upload/report/143/03/2019-stewardship-report-to-stakeholders.pdf
20 https://www.cnrl.com/upload/report/146/01/2020-stewardship-report-to-stakeholders.pdf
21 https://www.cnrl.com/upload/media_element/1313/5f96a94b2b5c/2021-stewardship-report-to-stakeholders.pdf",https://www.cnrl.com/upload/media_element/1313/5f96a94b2b5c/2021-stewardship-report-to-stakeholders.pdf,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,,Yes,,Annual reporting,No,Yes,"Plan: list of measures on p18, 2021 report but vague, e.g. '• Leverage CCUS advancements and learnings into the next generation of CCUS facilities'
Accountable: 'Canadian Natural’s Board of Directors provides expertise and oversight on ESG factors, through the Health, Safety, Asset Integrity and Environmental (HSAI&E) Committee, and the Nominating, Governance and Risk Committee' (p11, 2021)",Yes,No conditions specified,,,No,"Yes (CCS-based removals e.g. BECCS, DACCS)","Offsets: 'Engaging proactively in policy and regulation to effectively manage climate risks and opportunities, including trading capacity and offsetting emissions' (p17, 2021)
CCS-based: '• Carbon Capture, Utilization and Storage (CCUS)' (p18, 2021)",,,14401000000.0,,Fossil Fuels,,10180.0,,,,
2738,2022-09-21 19:14:01,COM-0651,TC Energy,CAN,Company,CA87807B1076,No,http://www.transcanada.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,30.0,2019.0,,,,,,2030.0,'Net zero by 2050' (p10),'Reduce GHG emissions intensity from our operations. 30% by 2030' (p10),2021 sustainability report,https://www.tcenergy.com/siteassets/pdfs/sustainability/sustainability-report/2021/tc-2021-ros.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,No,No,"Scope: 'Our targets address Scope 1 and 2 emissions, using a 2019 baseline year for planning purposes.' (p9, https://www.tcenergy.com/siteassets/pdfs/sustainability/ghg-plan/2021/tc-ghg-emissions-reduction-plan.pdf) Gases: 'Our targets focus on reduction of carbon dioxide (CO2 ), methane (CH4), and nitrogen oxide (N2 O) emissions, which are generated predominately from fuel combustion at our natural gas pipeline assets.' (p9, https://www.tcenergy.com/siteassets/pdfs/sustainability/ghg-plan/2021/tc-ghg-emissions-reduction-plan.pdf)",Yes,"Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Not Specified,"Plan: entire report containing plan, https://www.tcenergy.com/siteassets/pdfs/sustainability/ghg-plan/2021/tc-ghg-emissions-reduction-plan.pdf; e.g. 'For example, we can offer customers access to a variety of renewable energy resources via the long-term power purchase agreements (PPAs) we have recently finalized in Alberta, including: • 74 MW of solar energy at Claresholm Solar, which came online in April 2021. • 20 MW of solar energy at East Strathmore Solar, which will come online in the first quarter of 2022. • 297 MW of wind energy at Sharp Hills Wind Farm, which is now under development by EDP Renewables Canada. Subject to customary regulatory approvals and conditions, the wind farm is anticipated to be operational in 2023.' (p18) Accountable: 'Our Board of Directors provides oversight and direction for our overall sustainability objectives including emissions reduction activities' (p4)",Yes,Must be high environmental integrity,,,No,"Yes (CCS-based removals e.g. BECCS, DACCS)","Offsets: 'When participating in voluntary carbon markets we will strive to invest in the highest quality offsets, including nature-based solutions, that are verified by internationally recognized standards such as Verra, Gold Standard, the Climate Action Reserve and the American Carbon Registry.' (p23) CCS-based: 'Further the deployment of carbon capture, utilization and storage (CCUS) (p8)",,,9600000000.0,,Fossil Fuels,,7305.0,,,,
2742,2022-10-05 20:32:28,COM-0655,Couche Tard,CAN,Company,,No,http://www.couche-tard.com,Other,,,,,,,2030 ambition: 30% of our sites to be carbon neutral,2030.0,In corporate strategy,2021.0,No target,,,,,,,,,,,,https://corpo.couche-tard.com/wp-content/uploads/2021/06/sustainability-report-2021-1.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Not Specified,No,,No,,Annual reporting,No,Not Specified,,Not Specified,,,,No,Not Specified,,,,43100000000.0,,"Food, beverage & agriculture",,109000.0,,,,
2773,2022-09-15 16:48:05,COM-0686,Canadian National Railway,CAN,Company,,Yes,http://www.cn.ca,Emissions intensity target,43.0,2019.0,tco2 e/million gtm,,,,,2030.0,In corporate strategy,2019.0,Emissions intensity target,6.0,2017.0,tco2 e/million gtm,,,,,2022.0,"'Reduce Scope 1 and 2 GHG emission intensity (tCO2 e/million GTM) by 43% by 2030 based on 2019 levels.'
'Reduce Scope 3 GHG emissions from fuel- and energy-related activities by 40% per million gross ton miles by 2030 from a 2019 base year.' (p18)
nb these were approved by the SBTi in April 2021",'Reduce Scope 1 and 2 GHG emission intensity (tCO2 e/million tonne kilometres) by 6% by 2022 based on 2017 levels.' (p18),2020 Sustainability Report ,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/TSX_CNR.TO_2020.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,Scope: 2030 targets cover 1-3 (p18),Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Less than annual reporting,No,Not Specified,"Plan: list of measures on p18, e.g. 'We continue to purchase more fuel-efficient locomotives and in 2020, we acquired 41 of the most fuel-efficient, high-horsepower locomotives available.'
Reporting: every 2 years",Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Nature-based: 'CN recognizes that planting trees is important to tackle the twin crises of climate change and biodiversity loss. Our current goal is to plant 3 million trees by 2030.' (p25),,,11049000000.0,,Transportation services,,25975.0,,,,
2779,2022-10-13 01:23:22,COM-0692,Power Corp of Canada,CAN,Company,CA7392391016,No,http://www.powercorporation.com,Emissions reduction target,8.0,2011.0,,,,,,2020.0,In corporate strategy,2015.0,No target,,,,,,,,,"Reduce GHG emissions from the use of electricity and
natural gas by 8% by 2020, using a 2011 baseline (Pg. 36)",,"2015 Achievements
Reduced GHG emissions and energy associated with
electricity and natural gas consumption by 7.2%, using
2011 as a baseline, exceeding the 5% reduction target
we had established (Pg.36).

In 2018, two of its group companies mention their own emission reduction target (Pg. 86):
""Great-West Lifeco has a strong commitment to minimizing its environmental impact, to reporting highquality emissions data and reducing emissions across its operations. In 2017, the company strengthened
this commitment by establishing long-term GHG emission reduction targets for its Canadian properties,
specifically 27 per cent by 2025 and 50 per cent by 2036. Throughout the year, its property and asset
management teams worked collaboratively toward these goals, implementing realistic and economically
feasible projects to reduce the company’s carbon footprint, such as building equipment retrofits, data centre optimizations
and operational enhancements. Between 2013 and 2017, the company achieved a 17.7 per cent reduction in GHG emissions
in its managed real estate portfolio.""

""IGM Financial is also committed to transparency and accountability on climate issues. As such, in 2017, IGM Financial
obtained a score of A- (Leadership) as part of the 2017 CDP survey, ranking in the top five financial services companies in
Canada for the fourth year in a row. IGM Financial has set short- and long-term GHG emission reduction targets using 2013
as a base year. The objective is to achieve a 40 per cent reduction in absolute GHG emissions from energy use at owned
assets by 2020 (Scope 1 and 2) and to achieve a 50 per cent reduction in absolute GHG emissions from energy use at
owned assets by 2036 (Scope 1 and 2). Thanks to its various energy efficiency projects underway and its strategy of
purchasing renewable energy for its owned office building, the company’s Scope 1 and 2 emissions have decreased
substantially, representing a 66 per cent reduction in Scope 1 and 2 GHG emissions from 2013 to 2017.""

The company has the same target from 2015 till 2021, despite 2020 being the target year. 

Reports:
2015: https://www.powercorporationcsr.com/media/uploads/reports/Power_Corporation_CDP_20151.pdf
2016: https://www.powercorporationcsr.com/media/uploads/reports/Power_Corporation_CDP_20151.pdf
2017: https://www.powercorporationcsr.com/media/uploads/reports/PCC_-_CSR_Website_-_2017-12-08.pdf
2018: https://www.powercorporationcsr.com/media/uploads/reports/pcc_-_csr_website_-_2018_update.pdf
2019: https://www.powercorporationcsr.com/media/uploads/reports/pcc-csr-website-2019-final.pdf
2020: https://www.powercorporationcsr.com/media/uploads/reports/pcc-2019-2020-csr-microsite-web-final.pdf
2021: https://www.powercorporationcsr.com/media/uploads/reports/pcc-2020-2021-csr-microsite-web-final_Fpzjl0t.pdf",https://www.powercorporationcsr.com/media/uploads/reports/PCC_-_CSR_Website_-_2017-04-21_nj2CNci.pdf,Carbon dioxide and other GHGs,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Annual reporting,No,Yes,"Board oversight: Monitoring the implementation of the Corporation’s policy and strategy with respect to CSR, which includes
environmental and social matters;",Not Specified,,,,No,Not Specified,,,,43900000000.0,,Services,,30600.0,,,,
2841,2023-01-18 09:48:36,COM-0754,National Bank of Canada,CAN,Company,CA6330671034,Yes,http://www.nbc.ca,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,25.0,2019.0,,,,,,2025.0,"Adoption of a net-zero GHG emissions target with interim targets for our operating and financing activities by 2050. This target is in line with the most ambitious goal of the Paris Agreement, limiting global warming to 1.5 °C.","Interim target for reducing GHG emissions from operations under our control: reduction of 25% by the end of 2025, compared to 2019 levels","The company joins the UN's Net Zero Banking Alliance in 2021, and has set its emission target (Pg. 107)",https://www.nbc.ca/content/dam/bnc/a-propos-de-nous/relations-investisseurs/assemblee-annuelle/2022/na-2021-annual-report.pdf,Carbon dioxide and other GHGs,,,,,Not Specified,Not Specified,Not Specified,No,,No,,No reporting mechanism,No,Not Specified,,Yes,No conditions specified,,,No,Not Specified,"In 2022 NBC mentions ""The Bank is pursuing its commitment to carbon neutrality by reducing the carbon footprint of its own activities and by offsetting its greenhouse gas (GHG) emissions through various organizations."" (Pg. 105; Source: https://www.nbc.ca/content/dam/bnc/a-propos-de-nous/relations-investisseurs/assemblee-annuelle/2023/na-annual-report-2022.pdf)",,,9000000000.0,,Services,,25487.0,,,,
2868,2022-12-10 20:18:54,COM-0781,Fairfax Financial Holdings,CAN,Company,US30231G1022,No,https://corporate.exxonmobil.com,No target,,,,,,,,,In corporate strategy,,No target,,,,,,,,,,,,https://s1.q4cdn.com/579586326/files/doc_downloads/2021/12/2021-Fairfax-ESG-Report.pdf,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,No,Not Specified,,Not Specified,,,,No,Not Specified,,,,19300000000.0,,Services,,44043.0,,,,
3424,2023-02-22 15:52:40,COM-1337,Hydro One,CAN,Company,CA4488112083,No,http://www.hydroone.com,Net zero,,,,,,,,2050.0,In corporate strategy,2020.0,Emissions reduction target,30.0,2018.0,,,,,,2030.0,"Hydro One is committed to achieving net-zero
GHG emissions by 2050.","We have established a
target to achieve a 30% GHG reduction by 2030.",,https://www.hydroone.com/Sustainability/Documents/CSR_2020/HydroOne_CSR_2020.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,No,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Annual reporting,Yes,Not Specified,"Hydro One signed the BlackNorth Initiative Pledge
and is committed to achieving 3.5% Black executives
and board directors, and 5% Black student hires
by 2025.
As a signatory to the Catalyst Accord, Hydro One
is committed to achieving at least 30% female
executives and board members.
",Yes,No conditions specified,,,No,No,,,,4900000000.0,,Infrastructure,,7989.0,,,,
3739,2022-06-21 10:44:26,COM-1652,Canadian Utilities,CAN,Company,CA1367178326,No,http://www.canadianutilities.com,Net zero,,,,,,,,2050.0,In corporate strategy,2022.0,Other,,,,,,,2030 esg targets and roadmap to net zero - supporting the energy transition and reducing ghg emissions,2030.0,"""In January 2022, we announced an initial set of 2030 ESG targets. Our 2030 ESG targets include reducing our operational greenhouse gas (GHG) intensity and customer emissions, growing our renewable energy footprint and transitional products, increasing economic benefits for Indigenous partners, continuing our focus on safety, and further promoting diversity, equity and inclusion in the workplace"" (sustainability 2021 report, pg. 8)","""Reducing net operational GHG emissions to earnings intensity by 30 per cent (Scope 1 and 2). Reducing our customers’ GHG emissions by 2 million tonnes through continued participation in renewable energy, cleaner fuels, energy efficiency and energy infrastructure and storage projects. Owning, developing or managing over 1,000-megawatts (MW) of renewable energy. Deriving 20 per cent of revenues from transitional product categories (e.g., renewable natural gas and hydrogen)."" (sustainability 2021 report, pg. 8)","Reduce GHG emissions and develop renewable energy and infrastructure.

Sustainability report also covers two other atco subsidiaries.",https://www.atco.com/en-ca/our-commitment/sustainability.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,,"""To ensure we meet our long-term goal of net-zero GHG emissions, we have set a target of reducing our operational GHG emissions to earnings intensity by 30 per cent. At the same time,  we are expanding our disclosure to include Scope 3 emissions. Scope 1 emissions: emissions that we emit directly from our operations, sometimes referred to as direct emissions. Scope 2 emissions: indirect emissions that are produced from purchased energy, such as electricity for our facilities. Scope 3 emissions: indirect emissions upstream and downstream of our operations; for example, customer use of natural gas from our distribution network.""
""We are now also reporting emissions from our energy businesses in two sub-categories of Scope 3 GHG emissions, or emissions in our value chain that we do not directly control but are related to our activities. Scope 3 emissions include 15 sub-categories. For us, almost all our energy businesses’ Scope 3 emissions—over 90 per cent—fall in the categories of Upstream 
production and generation and Downstream end-use. Focusing on these two sub-categories that are most material to our business will allow us to most effectively demonstrate our performance and progression toward our ESG target to reduce our customers’ GHG emissions by 2 million tonnes.  In 2022, we will continue our work to disclose more Scope 3 categories in alignment with TCFD guidelines, focusing on the topics that are most material to our business. We recognize the importance of understanding emissions from our value chain to ensure wemake informed strategic decisions and are as transparent as possible."" (sustainability 2021 report, pg.18)

Further information of emissions: https://www.canadianutilities.com/en-ca.html
",Yes,"Measures for all emission scopes that are covered by the target|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures|Information on the emission reductions expected from these measures within a certain time period",Annual reporting,Yes,,"""A variety of publicly available documents that contain governance, economic, environmental, and social information for 2021, including the Annual Report, Sustainability Report, financial filings, and website"" (sustainability 2021 report, pg.49 - 56). Urls available within these pages.
DEI is strongly valued by the company and indigenous partners share the economic benefits of developments through equity arrangements, revenue sharing, JV partnerships, MOUs and procurement opportunities. Inclusive and Respectful Workforce policy: https://www.atco.com/content/dam/web/about-us/vision-values/how-we-do-business.pdf#page=26",Yes,No conditions specified,,,Yes,"Yes (CCS-based removals e.g. BECCS, DACCS)","""ATCO participates in carbon offset markets in Canada and Australia. We look to reduce emissions where possible, but ATCO may apply these carbon offsets as a transitionary tool to address residual emissions in our portfolio."" (sustainability 2021 report, pg. 15)
""Developing and modernizing infrastructure and storage solutions, including the integration of carbon capture utilization and storage (CCUS)."" (sustainability 2021 report, pg. 9)",,,2900000000.0,,Power generation,,4593.0,,,,
